Species,Population,Subject,Sex,Age,Sub #,Trials to criterion,Test Accuracy
Black Lemur,Duke Lemur Center,Barrymore,M,22,1,6,1
Black Lemur,Duke Lemur Center,Harlow,F,18,2,3,1
Black Lemur,Duke Lemur Center,Quinn,M,9,3,3,1
Black Lemur,Duke Lemur Center,Lamour,F,21,4,3,0
Black Lemur,Duke Lemur Center,Hesperus,M,26,5,9,0
Black Lemur,Duke Lemur Center,Harmonia,F,26,6,3,0
Black Lemur,Duke Lemur Center,Hopkins,M,14,7,6,1
Black Lemur,Duke Lemur Center,Redford,M,18,8,3,0
Black Lemur,Duke Lemur Center,Latona,F,26,9,12,1
Black Lemur,Duke Lemur Center,Deucalion,M,21,10,3,1
Bonobo,MPI-Leipzig,ulindi,F,10.232876712328768,1,3,1
Bonobo,MPI-Leipzig,joey,M,21.065753424657533,2,3,1
Bonobo,MPI-Leipzig,limbuko,M,14,3,3,1
Bonobo,MPI-Leipzig,kuno,M,7.1013698630136988,4,3,1
Canis latrans,"Logan Field Station, Utah",3.2,M,6,NA,3,0
Canis latrans,"Logan Field Station, Utah",3.3,F,4,NA,3,0
Canis latrans,"Logan Field Station, Utah",4.0999999999999996,M,2,NA,3,0
Canis latrans,"Logan Field Station, Utah",4.2,M,3,NA,3,1
Canis latrans,"Logan Field Station, Utah",4.3,F,2,NA,3,0
Canis latrans,"Logan Field Station, Utah",5.0999999999999996,M,3,NA,3,0
Canis latrans,"Logan Field Station, Utah",5.3,M,6,NA,3,1
Capuchin monkey,Institute of Cognitive Sciences and Technologies,Brahms,F,UNKNOWN,1,3,1
Capuchin monkey,Institute of Cognitive Sciences and Technologies,Cognac,M,UNKNOWN,2,3,1
Capuchin monkey,Institute of Cognitive Sciences and Technologies,Pandora,F,UNKNOWN,3,3,1
Capuchin monkey,Institute of Cognitive Sciences and Technologies,Panna,F,UNKNOWN,4,3,0
Capuchin monkey,Institute of Cognitive Sciences and Technologies,Patè,M,UNKNOWN,5,3,1
Capuchin monkey,Institute of Cognitive Sciences and Technologies,Pedro,M,UNKNOWN,6,3,1
Capuchin monkey,Institute of Cognitive Sciences and Technologies,Penelope,F,UNKNOWN,7,3,1
Capuchin monkey,Institute of Cognitive Sciences and Technologies,Pepe,M,UNKNOWN,8,3,1
Capuchin monkey,Institute of Cognitive Sciences and Technologies,Pippi,F,UNKNOWN,9,3,0
Capuchin monkey,Institute of Cognitive Sciences and Technologies,Punk,F,UNKNOWN,10,3,1
Capuchin monkey,Institute of Cognitive Sciences and Technologies,Robin Hood,M,UNKNOWN,11,3,1
Capuchin monkey,Institute of Cognitive Sciences and Technologies,Robinia,F,UNKNOWN,12,3,1
Capuchin monkey,Institute of Cognitive Sciences and Technologies,Robot,M,UNKNOWN,13,3,1
Capuchin monkey,Institute of Cognitive Sciences and Technologies,Rosso,M,UNKNOWN,14,3,0
Capuchin monkey,Institute of Cognitive Sciences and Technologies,Rucola,F,UNKNOWN,15,3,1
Capuchin monkey,Institute of Cognitive Sciences and Technologies,Saroma,F,UNKNOWN,16,3,0
Capuchin monkey,Institute of Cognitive Sciences and Technologies,Viola,M,UNKNOWN,17,3,1
Capuchin monkey,Institute of Cognitive Sciences and Technologies,Vispo,M,UNKNOWN,18,3,1
Capuchin monkey,Institute of Cognitive Sciences and Technologies,Zapotec,M,UNKNOWN,19,3,1
Capuchin monkey,Yale University,NN,M,16,20,3,1
Capuchin monkey,Yale University,AG,M,16,21,3,1
Capuchin monkey,Yale University,FL,M,15,22,3,1
Capuchin monkey,Yale University,AH,M,5,23,3,1
Capuchin monkey,Yale University,JM,F,15,24,3,1
Capuchin monkey,Yale University,HG,F,11,25,3,1
Capuchin monkey,Yale University,MD,F,10,26,3,1
Capuchin monkey,Yale University,HR,F,6,27,3,1
Capuchin monkey,Yale University,MP,F,4,28,3,1
Capuchin monkey,Yale University,HB,F,3,29,9,1
Chimpanzee,MPI-Leipzig,fraukje,F,27.756164383561643,1,3,1
Chimpanzee,MPI-Leipzig,jahaga,F,10.991780821917809,2,3,1
Chimpanzee,MPI-Leipzig,trudi,F,10.624657534246575,3,3,1
Chimpanzee,MPI-Leipzig,fifi,F,10.646575342465754,4,3,1
Chimpanzee,MPI-Leipzig,riet,F,6.1424657534246574,5,3,1
Chimpanzee,MPI-Leipzig,sandra,F,10.56986301369863,6,3,1
Chimpanzee,MPI-Leipzig,frodo,M,10.098630136986301,7,3,1
Chimpanzee,North Carolina Zoo,Ruthie,F,40,8,3,1
Chimpanzee,North Carolina Zoo,Maggie,F,38,9,6,1
Chimpanzee,North Carolina Zoo,Lance,M,10,10,3,0
Chimpanzee,North Carolina Zoo,Kendall,M,12,11,3,1
Chimpanzee,North Carolina Zoo,Sakoto,M,10,12,3,1
Chimpanzee,North Carolina Zoo,Terry,F,42,13,3,1
Chimpanzee,North Carolina Zoo,Ruby,F,15,14,9,0
Chimpanzee,North Carolina Zoo,Jon,M,15,15,3,1
Coquerel's sifaka,Duke Lemur Center,Gordian,M,14,1,6,0
Coquerel's sifaka,Duke Lemur Center,Lucius,M,5,2,6,0
Coquerel's sifaka,Duke Lemur Center,Matilda,F,2,3,6,1
