Common.Name,Latin.Name,A.not.B.Y.N,Cylinder.Y.N,Task,Score,Composite.Score,Sex,Age,Population,Subject
Asian elephant,Elephas maximus,Y,N,Cylinder.Task,NA,NA,F,3,Golden Triangle Asian Elephant Foundation,Am
Asian elephant,Elephas maximus,Y,N,Cylinder.Task,NA,NA,F,33,Golden Triangle Asian Elephant Foundation,Bo
Asian elephant,Elephas maximus,Y,N,Cylinder.Task,NA,NA,F,10,Golden Triangle Asian Elephant Foundation,NamFon
Asian elephant,Elephas maximus,Y,N,Cylinder.Task,NA,NA,M,10,Golden Triangle Asian Elephant Foundation,Pepsi
Asian elephant,Elephas maximus,Y,N,Cylinder.Task,NA,NA,F,16,Golden Triangle Asian Elephant Foundation,Ploy
Asian elephant,Elephas maximus,Y,N,Cylinder.Task,NA,NA,M,40,Golden Triangle Asian Elephant Foundation,Puki
Asian elephant,Elephas maximus,Y,N,Cylinder.Task,NA,NA,F,4,Golden Triangle Asian Elephant Foundation,TangMo
Asian elephant,Elephas maximus,Y,N,A.not.B.Task,0,NA,F,3,Golden Triangle Asian Elephant Foundation,Am
Asian elephant,Elephas maximus,Y,N,A.not.B.Task,0,NA,F,33,Golden Triangle Asian Elephant Foundation,Bo
Asian elephant,Elephas maximus,Y,N,A.not.B.Task,0,NA,F,10,Golden Triangle Asian Elephant Foundation,NamFon
Asian elephant,Elephas maximus,Y,N,A.not.B.Task,0,NA,M,10,Golden Triangle Asian Elephant Foundation,Pepsi
Asian elephant,Elephas maximus,Y,N,A.not.B.Task,0,NA,F,16,Golden Triangle Asian Elephant Foundation,Ploy
Asian elephant,Elephas maximus,Y,N,A.not.B.Task,0,NA,M,40,Golden Triangle Asian Elephant Foundation,Puki
Asian elephant,Elephas maximus,Y,N,A.not.B.Task,0,NA,F,4,Golden Triangle Asian Elephant Foundation,TangMo
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,F,5,Duke Lemur Center,Angelique
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,F,14,Duke Lemur Center,Ardrey
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,F,16,Duke Lemur Center,Caliban
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,M,5,Duke Lemur Center,Hitchcock
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,F,12,Duke Lemur Center,Kali
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,F,9,Duke Lemur Center,Lucrezia
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,F,6,Duke Lemur Center,Medea
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,M,16,Duke Lemur Center,Merlin
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,M,25,Duke Lemur Center,Nosferatu
aye aye,Daubentonia madagascariensis,N,Y,Cylinder.Task,51,NA,M,24,Duke Lemur Center,Poe
aye aye,Daubentonia madagascariensis,N,Y,A.not.B.Task,NA,NA,F,5,Duke Lemur Center,Angelique
aye aye,Daubentonia madagascariensis,N,Y,A.not.B.Task,NA,NA,F,14,Duke Lemur Center,Ardrey
