Species,Pop.x,Sex.x,Sub_no..x,Warmups,Test_percent_correct,1st_corr,2nd_corr,Pop.y,Sex.y,Sub_no..y,Trials,Accuracy
Aye Aye,Duke Lemur Center,M,1,5,80,100,60,NA,NA,NA,NA,NA
Aye Aye,Duke Lemur Center,F,2,5,60,80,40,NA,NA,NA,NA,NA
Aye Aye,Duke Lemur Center,F,3,5,70,60,80,NA,NA,NA,NA,NA
Aye Aye,Duke Lemur Center,F,4,5,80,80,80,NA,NA,NA,NA,NA
Aye Aye,Duke Lemur Center,M,5,8,40,40,40,NA,NA,NA,NA,NA
Aye Aye,Duke Lemur Center,F,6,4,0,0,0,NA,NA,NA,NA,NA
Aye Aye,Duke Lemur Center,F,7,6,50,20,80,NA,NA,NA,NA,NA
Aye Aye,Duke Lemur Center,F,8,4,50,20,80,NA,NA,NA,NA,NA
Aye Aye,Duke Lemur Center,M,9,15,50,20,80,NA,NA,NA,NA,NA
Aye Aye,Duke Lemur Center,M,10,27,30,20,40,NA,NA,NA,NA,NA
Black Lemur,Duke Lemur Center,M,1,5,30,20,40,NA,NA,NA,NA,NA
Black Lemur,Duke Lemur Center,F,2,4,80,60,100,NA,NA,NA,NA,NA
Black Lemur,Duke Lemur Center,F,3,5,70,80,60,NA,NA,NA,NA,NA
Black Lemur,Duke Lemur Center,M,4,4,50,40,60,NA,NA,NA,NA,NA
Black Lemur,Duke Lemur Center,F,5,5,10,0,20,NA,NA,NA,NA,NA
Black Lemur,Duke Lemur Center,M,6,4,60,40,80,NA,NA,NA,NA,NA
Black Lemur,Duke Lemur Center,M,7,6,50,40,60,NA,NA,NA,NA,NA
Black Lemur,Duke Lemur Center,M,8,5,70,60,80,NA,NA,NA,NA,NA
Black Lemur,Duke Lemur Center,M,9,5,20,20,20,NA,NA,NA,NA,NA
Black Lemur,Duke Lemur Center,M,10,9,70,60,80,NA,NA,NA,NA,NA
Bonobo,MPI - Leipzig,F,1,4,100,100,100,MPI-Leipzig,F,1,3,1
Bonobo,MPI - Leipzig,F,1,4,100,100,100,MPI-Leipzig,M,2,3,1
Bonobo,MPI - Leipzig,F,1,4,100,100,100,MPI-Leipzig,M,3,3,1
Bonobo,MPI - Leipzig,F,1,4,100,100,100,MPI-Leipzig,M,4,3,1
Bonobo,MPI - Leipzig,M,2,4,100,100,100,MPI-Leipzig,F,1,3,1
Bonobo,MPI - Leipzig,M,2,4,100,100,100,MPI-Leipzig,M,2,3,1
Bonobo,MPI - Leipzig,M,2,4,100,100,100,MPI-Leipzig,M,3,3,1
Bonobo,MPI - Leipzig,M,2,4,100,100,100,MPI-Leipzig,M,4,3,1
Bonobo,MPI - Leipzig,F,3,4,70,80,60,MPI-Leipzig,F,1,3,1
Bonobo,MPI - Leipzig,F,3,4,70,80,60,MPI-Leipzig,M,2,3,1
Bonobo,MPI - Leipzig,F,3,4,70,80,60,MPI-Leipzig,M,3,3,1
Bonobo,MPI - Leipzig,F,3,4,70,80,60,MPI-Leipzig,M,4,3,1
Bonobo,MPI - Leipzig,F,4,4,100,100,100,MPI-Leipzig,F,1,3,1
Bonobo,MPI - Leipzig,F,4,4,100,100,100,MPI-Leipzig,M,2,3,1
Bonobo,MPI - Leipzig,F,4,4,100,100,100,MPI-Leipzig,M,3,3,1
Bonobo,MPI - Leipzig,F,4,4,100,100,100,MPI-Leipzig,M,4,3,1
Bonobo,MPI - Leipzig,M,5,4,100,100,100,MPI-Leipzig,F,1,3,1
