Species,Population,Name,Sex,Age,Subject #,Test % Correct,1st Half % Correct,2nd Half % Correct,Trial_type,N_trials
Aye Aye,Duke Lemur Center,Merlin,M,15.775342465753425,1,80,100,60,Warmups,5
Aye Aye,Duke Lemur Center,Caliban,F,15.556164383561644,2,60,80,40,Warmups,5
Aye Aye,Duke Lemur Center,Angelique,F,4.6821917808219178,3,70,60,80,Warmups,5
Aye Aye,Duke Lemur Center,Lucrezia,F,8.7232876712328764,4,80,80,80,Warmups,5
Aye Aye,Duke Lemur Center,Hitchcock,M,5.2219178082191782,5,40,40,40,Warmups,8
Aye Aye,Duke Lemur Center,Medea,F,5.6876712328767125,6,0,0,0,Warmups,4
Aye Aye,Duke Lemur Center,Ardrey,F,13.978082191780821,7,50,20,80,Warmups,6
Aye Aye,Duke Lemur Center,Kali,F,12.27945205479452,8,50,20,80,Warmups,4
Aye Aye,Duke Lemur Center,Nosferatu,M,25.13150684931507,9,50,20,80,Warmups,15
Aye Aye,Duke Lemur Center,Poe,M,24.147945205479452,10,30,20,40,Warmups,27
Black Lemur,Duke Lemur Center,Barrymore,M,19.827397260273973,1,30,20,40,Warmups,5
Black Lemur,Duke Lemur Center,Lamour,F,17.695890410958903,2,80,60,100,Warmups,4
Black Lemur,Duke Lemur Center,Foster,F,12.093150684931507,3,70,80,60,Warmups,5
Black Lemur,Duke Lemur Center,Olivier,M,16.989041095890411,4,50,40,60,Warmups,4
Black Lemur,Duke Lemur Center,Harlow,F,15.93972602739726,5,10,0,20,Warmups,5
Black Lemur,Duke Lemur Center,Quinn,M,7.1698630136986301,6,60,40,80,Warmups,4
Black Lemur,Duke Lemur Center,Tarantino,M,8.9780821917808211,7,50,40,60,Warmups,6
Black Lemur,Duke Lemur Center,Redford,M,17.246575342465754,8,70,60,80,Warmups,5
Black Lemur,Duke Lemur Center,Teucer,M,20.19178082191781,9,20,20,20,Warmups,5
Black Lemur,Duke Lemur Center,Hesperus,M,25.221917808219178,10,70,60,80,Warmups,9
Bonobo,MPI - Leipzig,Luiza,F,5,1,100,100,100,Warmups,4
Bonobo,MPI - Leipzig,Joey,M,28,2,100,100,100,Warmups,4
Bonobo,MPI - Leipzig,Fimi,F,2,3,70,80,60,Warmups,4
Bonobo,MPI - Leipzig,Yasa,F,13,4,100,100,100,Warmups,4
Bonobo,MPI - Leipzig,Kuno,M,14,5,100,100,100,Warmups,4
Bonobo,MPI - Leipzig,Ulindi,F,17,6,100,100,100,Warmups,4
Brown Lemur,Duke Lemur Center,Martine,F,22.983561643835618,1,30,40,20,Warmups,5
Brown Lemur,Duke Lemur Center,Alphonse,M,29.13150684931507,2,0,0,0,Warmups,6
Brown Lemur,Duke Lemur Center,Jules,M,22.835616438356166,3,60,40,80,Warmups,10
Brown Lemur,Duke Lemur Center,Francoise,F,24.926027397260274,4,50,40,60,Warmups,10
Brown Lemur,Duke Lemur Center,Giscard,M,21.958904109589042,5,20,0,40,Warmups,6
Brown Lemur,Duke Lemur Center,Wizard,F,15.109589041095891,6,80,60,100,Warmups,16
Brown Lemur,Duke Lemur Center,Geraldine,F,20.964383561643835,7,33.33333333333333,20,50,Warmups,18
Brown Lemur,Duke Lemur Center,Kish,M,22.887671232876713,8,60,20,100,Warmups,9
Brown Lemur,Duke Lemur Center,Fiery,M,27.010958904109589,9,90,80,100,Warmups,9
Brown Lemur,Duke Lemur Center,Frigga,F,25.950684931506849,10,10,20,0,Warmups,8
Capuchin,Institute of Cognitive Sciences and Technologies,Carlotta,F,26,1,100,100,100,Warmups,4
Capuchin,Institute of Cognitive Sciences and Technologies,Paprica,F,20,2,100,100,100,Warmups,4
Capuchin,Institute of Cognitive Sciences and Technologies,Rame,F,22,3,100,100,100,Warmups,4
Capuchin,Institute of Cognitive Sciences and Technologies,Roberta,F,23,4,100,100,100,Warmups,4
Capuchin,Institute of Cognitive Sciences and Technologies,Robinia,F,16,5,80,100,60,Warmups,4
Capuchin,Institute of Cognitive Sciences and Technologies,Saroma,F,8,6,100,100,100,Warmups,4
Capuchin,Institute of Cognitive Sciences and Technologies,Virginia,F,10,7,100,100,100,Warmups,4
Capuchin,Institute of Cognitive Sciences and Technologies,Cammello,M,31,8,100,100,100,Warmups,4
Capuchin,Institute of Cognitive Sciences and Technologies,Pedro,M,8,9,100,100,100,Warmups,4
Capuchin,Institute of Cognitive Sciences and Technologies,Robin Hood,M,13,10,70,60,80,Warmups,4
Capuchin,Institute of Cognitive Sciences and Technologies,Robot,M,14,11,100,100,100,Warmups,4
Capuchin,Institute of Cognitive Sciences and Technologies,Rubens,M,7,12,100,100,100,Warmups,4
Capuchin,Yale University,NN,M,16,13,100,100,100,Warmups,5
Capuchin,Yale University,AG,M,16,14,90,80,100,Warmups,4
Capuchin,Yale University,FL,M,15,15,100,100,100,Warmups,4
Capuchin,Yale University,AH,M,5,16,100,100,100,Warmups,4
Capuchin,Yale University,JM,F,15,17,100,100,100,Warmups,4
Capuchin,Yale University,HG,F,11,18,100,100,100,Warmups,4
Capuchin,Yale University,MD,F,10,19,100,100,100,Warmups,4
Capuchin,Yale University,HR,F,6,20,80,60,100,Warmups,4
Capuchin,Yale University,MP,F,4,21,100,100,100,Warmups,4
Capuchin,Yale University,HB,F,3,22,90,100,80,Warmups,10
Chimpanzee,MPI - Leipzig,Trudi,F,18,1,100,100,100,Warmups,4
Chimpanzee,MPI - Leipzig,Jahaga,F,18,2,100,100,100,Warmups,4
Chimpanzee,MPI - Leipzig,Alex,M,10,3,100,100,100,Warmups,4
Chimpanzee,MPI - Leipzig,Alexandra,F,11,4,100,100,100,Warmups,4
Chimpanzee,MPI - Leipzig,Fifi,F,18,5,100,100,100,Warmups,4
Coquerel's sifaka,Duke Lemur Center,Gordian,M,12.353424657534246,1,80,60,100,Warmups,4
Coquerel's sifaka,Duke Lemur Center,Anastasia,F,4.3095890410958901,2,0,0,0,Warmups,4
Coquerel's sifaka,Duke Lemur Center,Pia,F,9.24931506849315,3,0,0,0,Warmups,5
Coquerel's sifaka,Duke Lemur Center,Antonia,F,10.219178082191782,4,20,0,40,Warmups,10
Coquerel's sifaka,Duke Lemur Center,Gratian,M,6.1287671232876715,5,20,0,40,Warmups,4
Coquerel's sifaka,Duke Lemur Center,Jovian,M,4.1671232876712327,6,60,40,80,Warmups,4
Coquerel's sifaka,Duke Lemur Center,Tiberius,M,21.394520547945206,7,30,0,60,Warmups,5
Coquerel's sifaka,Duke Lemur Center,Matlida,F,1.7178082191780821,8,10,0,20,Warmups,9
Coquerel's sifaka,Duke Lemur Center,Lucius,M,3.4356164383561643,9,66.66666666666666,60,75,Warmups,4
Coquerel's sifaka,Duke Lemur Center,Marcus,M,5.5671232876712331,10,77.77777777777779,80,75,Warmups,5
Coyote,"Logan Field Station, Utah",3.1,F,3,1,100,100,100,Warmups,3
Coyote,"Logan Field Station, Utah",3.2,M,6,2,70,80,60,Warmups,5
Coyote,"Logan Field Station, Utah",3.3,F,4,3,100,100,100,Warmups,3
Coyote,"Logan Field Station, Utah",4.2,M,3,4,100,100,100,Warmups,3
Coyote,"Logan Field Station, Utah",4.3,F,2,5,100,100,100,Warmups,3
Coyote,"Logan Field Station, Utah",5.0999999999999996,M,3,6,100,100,100,Warmups,3
Coyote,"Logan Field Station, Utah",5.2,F,3,7,90,80,100,Warmups,3
Coyote,"Logan Field Station, Utah",5.3,M,6,8,100,100,100,Warmups,3
Domestic Dog,Duke,Amber,F,6,1,80,60,100,Warmups,5
Domestic Dog,Duke,Aspen,F,2,2,100,100,100,Warmups,4
Domestic Dog,Duke,Astro,M,3,3,50,100,0,Warmups,3
Domestic Dog,Duke,Bailey,M,7,4,70,60,80,Warmups,5
Domestic Dog,Duke,Bender,M,1,5,100,100,100,Warmups,4
Domestic Dog,Duke,Bonnie,F,9,6,70,60,80,Warmups,5
Domestic Dog,Duke,Bowie,M,5,7,100,100,100,Warmups,4
Domestic Dog,Duke,Buffy,F,6,8,50,60,40,Warmups,6
Domestic Dog,Duke,Cassie,F,8,9,30,0,60,Warmups,4
Domestic Dog,Duke,Cassie(2),F,8,10,20,20,20,Warmups,5
Domestic Dog,Duke,Chewie,M,3,11,60,40,80,Warmups,5
Domestic Dog,Duke,Chloe,F,1,12,90,100,80,Warmups,5
Domestic Dog,Duke,Clara,F,8,13,100,100,100,Warmups,4
