Species,Pop,Sex,Sub_no.,Warmups,Test_percent_correct,first_corr,second_corr
Aye Aye,Duke Lemur Center,M,1,5,80,100,60
Aye Aye,Duke Lemur Center,F,2,5,60,80,40
Aye Aye,Duke Lemur Center,F,3,5,70,60,80
Aye Aye,Duke Lemur Center,F,4,5,80,80,80
Aye Aye,Duke Lemur Center,M,5,8,40,40,40
Aye Aye,Duke Lemur Center,F,6,4,0,0,0
Aye Aye,Duke Lemur Center,F,7,6,50,20,80
Aye Aye,Duke Lemur Center,F,8,4,50,20,80
Aye Aye,Duke Lemur Center,M,9,15,50,20,80
Aye Aye,Duke Lemur Center,M,10,27,30,20,40
Black Lemur,Duke Lemur Center,M,1,5,30,20,40
Black Lemur,Duke Lemur Center,F,2,4,80,60,100
Black Lemur,Duke Lemur Center,F,3,5,70,80,60
Black Lemur,Duke Lemur Center,M,4,4,50,40,60
Black Lemur,Duke Lemur Center,F,5,5,10,0,20
Black Lemur,Duke Lemur Center,M,6,4,60,40,80
Black Lemur,Duke Lemur Center,M,7,6,50,40,60
Black Lemur,Duke Lemur Center,M,8,5,70,60,80
Black Lemur,Duke Lemur Center,M,9,5,20,20,20
Black Lemur,Duke Lemur Center,M,10,9,70,60,80
Bonobo,MPI - Leipzig,F,1,4,100,100,100
Bonobo,MPI - Leipzig,M,2,4,100,100,100
Bonobo,MPI - Leipzig,F,3,4,70,80,60
Bonobo,MPI - Leipzig,F,4,4,100,100,100
Bonobo,MPI - Leipzig,M,5,4,100,100,100
Bonobo,MPI - Leipzig,F,6,4,100,100,100
Brown lemur,Duke Lemur Center,F,1,5,30,40,20
Brown lemur,Duke Lemur Center,M,2,6,0,0,0
Brown lemur,Duke Lemur Center,M,3,10,60,40,80
Brown lemur,Duke Lemur Center,F,4,10,50,40,60
Brown lemur,Duke Lemur Center,M,5,6,20,0,40
Brown lemur,Duke Lemur Center,F,6,16,80,60,100
Brown lemur,Duke Lemur Center,F,7,18,33.33333333,20,50
Brown lemur,Duke Lemur Center,M,8,9,60,20,100
Brown lemur,Duke Lemur Center,M,9,9,90,80,100
Brown lemur,Duke Lemur Center,F,10,8,10,20,0
Capuchin,Institute of Cognitive Sciences and Technologies,F,1,4,100,100,100
Capuchin,Institute of Cognitive Sciences and Technologies,F,2,4,100,100,100
Capuchin,Institute of Cognitive Sciences and Technologies,F,3,4,100,100,100
Capuchin,Institute of Cognitive Sciences and Technologies,F,4,4,100,100,100
Capuchin,Institute of Cognitive Sciences and Technologies,F,5,4,80,100,60
Capuchin,Institute of Cognitive Sciences and Technologies,F,6,4,100,100,100
Capuchin,Institute of Cognitive Sciences and Technologies,F,7,4,100,100,100
Capuchin,Institute of Cognitive Sciences and Technologies,M,8,4,100,100,100
Capuchin,Institute of Cognitive Sciences and Technologies,M,9,4,100,100,100
Capuchin,Institute of Cognitive Sciences and Technologies,M,10,4,70,60,80
Capuchin,Institute of Cognitive Sciences and Technologies,M,11,4,100,100,100
Capuchin,Institute of Cognitive Sciences and Technologies,M,12,4,100,100,100
Capuchin,Yale University,M,13,5,100,100,100
Capuchin,Yale University,M,14,4,90,80,100
Capuchin,Yale University,M,15,4,100,100,100
Capuchin,Yale University,M,16,4,100,100,100
Capuchin,Yale University,F,17,4,100,100,100
Capuchin,Yale University,F,18,4,100,100,100
Capuchin,Yale University,F,19,4,100,100,100
Capuchin,Yale University,F,20,4,80,60,100
Capuchin,Yale University,F,21,4,100,100,100
Capuchin,Yale University,F,22,10,90,100,80
Chimpanzee,MPI - Leipzig,F,1,4,100,100,100
Chimpanzee,MPI - Leipzig,F,2,4,100,100,100
Chimpanzee,MPI - Leipzig,M,3,4,100,100,100
Chimpanzee,MPI - Leipzig,F,4,4,100,100,100
Chimpanzee,MPI - Leipzig,F,5,4,100,100,100
Coquerel's sifaka,Duke Lemur Center,M,1,4,80,60,100
Coquerel's sifaka,Duke Lemur Center,F,2,4,0,0,0
Coquerel's sifaka,Duke Lemur Center,F,3,5,0,0,0
Coquerel's sifaka,Duke Lemur Center,F,4,10,20,0,40
Coquerel's sifaka,Duke Lemur Center,M,5,4,20,0,40
Coquerel's sifaka,Duke Lemur Center,M,6,4,60,40,80
Coquerel's sifaka,Duke Lemur Center,M,7,5,30,0,60
Coquerel's sifaka,Duke Lemur Center,F,8,9,10,0,20
Coquerel's sifaka,Duke Lemur Center,M,9,4,66.66666667,60,75
Coquerel's sifaka,Duke Lemur Center,M,10,5,77.77777778,80,75
Coyote,"Logan Field Station, Utah",F,1,3,100,100,100
Coyote,"Logan Field Station, Utah",M,2,5,70,80,60
Coyote,"Logan Field Station, Utah",F,3,3,100,100,100
Coyote,"Logan Field Station, Utah",M,4,3,100,100,100
Coyote,"Logan Field Station, Utah",F,5,3,100,100,100
Coyote,"Logan Field Station, Utah",M,6,3,100,100,100
Coyote,"Logan Field Station, Utah",F,7,3,90,80,100
Coyote,"Logan Field Station, Utah",M,8,3,100,100,100
Domestic Dog,Duke,F,1,5,80,60,100
Domestic Dog,Duke,F,2,4,100,100,100
Domestic Dog,Duke,M,3,3,50,100,0
Domestic Dog,Duke,M,4,5,70,60,80
Domestic Dog,Duke,M,5,4,100,100,100
Domestic Dog,Duke,F,6,5,70,60,80
Domestic Dog,Duke,M,7,4,100,100,100
Domestic Dog,Duke,F,8,6,50,60,40
Domestic Dog,Duke,F,9,4,30,0,60
Domestic Dog,Duke,F,10,5,20,20,20
Domestic Dog,Duke,M,11,5,60,40,80
Domestic Dog,Duke,F,12,5,90,100,80
Domestic Dog,Duke,F,13,4,100,100,100
Domestic Dog,Duke,F,14,5,80,80,80
Domestic Dog,Duke,F,15,4,90,100,80
Domestic Dog,Duke,M,16,4,100,100,100
Domestic Dog,Duke,M,17,8,40,20,60
Domestic Dog,Duke,F,18,5,80,100,60
Domestic Dog,Duke,F,19,4,40,60,20
