Species,Population,Sex,Sub #,Trials to criterion,Test Accuracy
Ring-tailed lemur,Duke Lemur Center,M,1,3,0
Ring-tailed lemur,Duke Lemur Center,F,2,6,1
Ring-tailed lemur,Duke Lemur Center,M,3,3,1
Ring-tailed lemur,Duke Lemur Center,M,4,3,0
Ring-tailed lemur,Duke Lemur Center,F,5,15,0
Ring-tailed lemur,Duke Lemur Center,M,6,3,0
Ring-tailed lemur,Duke Lemur Center,M,7,3,1
Ring-tailed lemur,Duke Lemur Center,F,8,12,0
Ring-tailed lemur,Duke Lemur Center,F,9,6,0
Ring-tailed lemur,Duke Lemur Center,M,10,9,1
Mongoose lemur,Duke Lemur Center,M,1,3,1
Mongoose lemur,Duke Lemur Center,F,2,3,1
Mongoose lemur,Duke Lemur Center,M,3,3,1
Mongoose lemur,Duke Lemur Center,M,4,6,1
Mongoose lemur,Duke Lemur Center,M,5,3,1
Mongoose lemur,Duke Lemur Center,F,6,3,0
Mongoose lemur,Duke Lemur Center,M,7,12,0
Mongoose lemur,Duke Lemur Center,M,8,3,0
Mongoose lemur,Duke Lemur Center,F,9,21,0
Mongoose lemur,Duke Lemur Center,F,10,6,0
Black lemur,Duke Lemur Center,M,1,6,1
Black lemur,Duke Lemur Center,F,2,3,1
Black lemur,Duke Lemur Center,M,3,3,1
Black lemur,Duke Lemur Center,F,4,3,0
Black lemur,Duke Lemur Center,M,5,9,0
Black lemur,Duke Lemur Center,F,6,3,0
Black lemur,Duke Lemur Center,M,7,6,1
Black lemur,Duke Lemur Center,M,8,3,0
Black lemur,Duke Lemur Center,F,9,12,1
Black lemur,Duke Lemur Center,M,10,3,1
Ruffed lemur,Duke Lemur Center,M,1,6,0
Ruffed lemur,Duke Lemur Center,M,2,6,1
Ruffed lemur,Duke Lemur Center,F,3,3,0
Ruffed lemur,Duke Lemur Center,M,4,3,0
Ruffed lemur,Duke Lemur Center,F,5,6,0
Ruffed lemur,Duke Lemur Center,F,6,12,0
Ruffed lemur,Duke Lemur Center,F,7,6,0
Ruffed lemur,Duke Lemur Center,M,8,3,0
Ruffed lemur,Duke Lemur Center,F,9,9,0
Ruffed lemur,Duke Lemur Center,M,10,3,0
Coquerel's sifaka,Duke Lemur Center,M,1,6,0
Coquerel's sifaka,Duke Lemur Center,M,2,6,0
Coquerel's sifaka,Duke Lemur Center,F,3,6,1
Coquerel's sifaka,Duke Lemur Center,M,4,15,0
Coquerel's sifaka,Duke Lemur Center,M,5,6,0
Coquerel's sifaka,Duke Lemur Center,M,6,3,0
Coquerel's sifaka,Duke Lemur Center,F,7,6,0
Coquerel's sifaka,Duke Lemur Center,M,8,6,1
Coquerel's sifaka,Duke Lemur Center,F,9,3,1
Coquerel's sifaka,Duke Lemur Center,M,10,3,0
Hamadryus baboon,North Carolina Zoo,M,1,6,1
Hamadryus baboon,North Carolina Zoo,M,2,3,1
Hamadryus baboon,North Carolina Zoo,F,3,3,1
Hamadryus baboon,North Carolina Zoo,M,4,3,1
Hamadryus baboon,North Carolina Zoo,M,5,3,1
Hamadryus baboon,North Carolina Zoo,F,6,12,1
Hamadryus baboon,North Carolina Zoo,F,7,6,1
Hamadryus baboon,North Carolina Zoo,F,8,3,0
Hamadryus baboon,North Carolina Zoo,M,9,3,0
Hamadryus baboon,North Carolina Zoo,M,10,6,0
Hamadryus baboon,North Carolina Zoo,m,11,3,0
Olive baboon,Seneca Park Zoo,M,1,3,1
Olive baboon,Seneca Park Zoo,M,2,3,1
Olive baboon,Seneca Park Zoo,M,3,3,1
Olive baboon,Seneca Park Zoo,F,4,3,1
Olive baboon,Seneca Park Zoo,F,5,3,1
Olive baboon,Seneca Park Zoo,F,6,3,1
Olive baboon,Seneca Park Zoo,F,7,3,1
Olive baboon,Seneca Park Zoo,F,8,3,1
Olive baboon,Seneca Park Zoo,F,9,3,1
Golden monkey,Beijing Wildlife Park,M,1,3,1
Golden monkey,Beijing Wildlife Park,F,2,3,1
Golden monkey,Beijing Wildlife Park,F,3,3,0
Golden monkey,Beijing Wildlife Park,F,4,3,1
Golden monkey,Beijing Wildlife Park,M,5,6,0
Golden monkey,Beijing Wildlife Park,F,6,3,0
Golden monkey,Beijing Wildlife Park,F,7,3,1
Golden monkey,Beijing Wildlife Park,M,8,9,0
Golden monkey,Beijing Wildlife Park,M,9,3,1
Marmoset,University of Zurich,M,1,3,1
Marmoset,University of Zurich,M,2,3,1
Marmoset,University of Zurich,M,3,3,1
Marmoset,University of Zurich,M,4,3,0
Marmoset,University of Zurich,F,5,3,1
Marmoset,University of Zurich,F,6,3,1
Marmoset,University of Zurich,F,7,3,0
Marmoset,University of Zurich,F,8,3,0
Marmoset,University of Zurich,F,9,3,0
Marmoset,University of Zurich,M,10,3,1
Fox Squirrel,UC Berkeley,F,1,24,0
Fox Squirrel,UC Berkeley,M,2,12,1
Fox Squirrel,UC Berkeley,F,3,15,0
Fox Squirrel,UC Berkeley,Unknown,4,6,0
Fox Squirrel,UC Berkeley,F,5,30,0
Fox Squirrel,UC Berkeley,M,6,3,0
Fox Squirrel,UC Berkeley,M,7,3,0
Fox Squirrel,UC Berkeley,F,8,12,0
Stump-tailed macaque,Peking University,M,1,3,1
Stump-tailed macaque,Peking University,M,2,3,1
Stump-tailed macaque,Peking University,M,3,12,1
Stump-tailed macaque,Peking University,M,4,3,0
Stump-tailed macaque,Peking University,M,5,3,1
Stump-tailed macaque,Peking University,F,6,3,0
Stump-tailed macaque,Peking University,M,7,6,0
Chimpanzee,MPI-Leipzig,F,1,3,1
Chimpanzee,MPI-Leipzig,F,2,3,1
Chimpanzee,MPI-Leipzig,F,3,3,1
Chimpanzee,MPI-Leipzig,F,4,3,1
Chimpanzee,MPI-Leipzig,F,5,3,1
Chimpanzee,MPI-Leipzig,F,6,3,1
Chimpanzee,MPI-Leipzig,M,7,3,1
Chimpanzee,North Carolina Zoo,F,8,3,1
Chimpanzee,North Carolina Zoo,F,9,6,1
Chimpanzee,North Carolina Zoo,M,10,3,0
Chimpanzee,North Carolina Zoo,M,11,3,1
Chimpanzee,North Carolina Zoo,M,12,3,1
Chimpanzee,North Carolina Zoo,F,13,3,1
Chimpanzee,North Carolina Zoo,F,14,9,0
Chimpanzee,North Carolina Zoo,M,15,3,1
Bonobo,MPI-Leipzig,F,1,3,1
Bonobo,MPI-Leipzig,M,2,3,1
Bonobo,MPI-Leipzig,M,3,3,1
Bonobo,MPI-Leipzig,M,4,3,1
