Species,Population,Name,Sex,Age,Subject #,Warmups,Test % Correct,1st Half % Correct,2nd Half % Correct
Aye Aye,Duke Lemur Center,Merlin,M,15.775342465753425,1,5,80,100,60
Aye Aye,Duke Lemur Center,Caliban,F,15.556164383561644,2,5,60,80,40
Aye Aye,Duke Lemur Center,Angelique,F,4.6821917808219178,3,5,70,60,80
Aye Aye,Duke Lemur Center,Lucrezia,F,8.7232876712328764,4,5,80,80,80
Aye Aye,Duke Lemur Center,Hitchcock,M,5.2219178082191782,5,8,40,40,40
Aye Aye,Duke Lemur Center,Medea,F,5.6876712328767125,6,4,0,0,0
Aye Aye,Duke Lemur Center,Ardrey,F,13.978082191780821,7,6,50,20,80
Aye Aye,Duke Lemur Center,Kali,F,12.27945205479452,8,4,50,20,80
Aye Aye,Duke Lemur Center,Nosferatu,M,25.13150684931507,9,15,50,20,80
Aye Aye,Duke Lemur Center,Poe,M,24.147945205479452,10,27,30,20,40
black lemur,Duke Lemur Center,Barrymore,M,19.827397260273973,1,5,30,20,40
black lemur,Duke Lemur Center,Lamour,F,17.695890410958903,2,4,80,60,100
black lemur,Duke Lemur Center,Foster,F,12.093150684931507,3,5,70,80,60
black lemur,Duke Lemur Center,Olivier,M,16.989041095890411,4,4,50,40,60
black lemur,Duke Lemur Center,Harlow,F,15.93972602739726,5,5,10,0,20
black lemur,Duke Lemur Center,Quinn,M,7.1698630136986301,6,4,60,40,80
black lemur,Duke Lemur Center,Tarantino,M,8.9780821917808211,7,6,50,40,60
black lemur,Duke Lemur Center,Redford,M,17.246575342465754,8,5,70,60,80
black lemur,Duke Lemur Center,Teucer,M,20.19178082191781,9,5,20,20,20
black lemur,Duke Lemur Center,Hesperus,M,25.221917808219178,10,9,70,60,80
Bonobo,MPI - Leipzig,Luiza,F,5,1,4,100,100,100
Bonobo,MPI - Leipzig,Joey,M,28,2,4,100,100,100
Bonobo,MPI - Leipzig,Fimi,F,2,3,4,70,80,60
