REST.OF.BRAIN.(Table.3),X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
"All values refer to the ensemble of brainstem, diencephalon and basal ganglia, for both sides of the brain.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Species,Order ,"Structure mass, g","Mass, SD",Neurons,"Neurons, SD",Other cells,"Other cells, SD",Neurons/mg,"N/mg, SD",Other cells/mg,"O/mg, SD",O/N,"O/N, SD",Source
Sorex fumeus,Eulipotyphla,7.1999999999999995E-2,± 0.010,5560000,"± 1,490,000",8280000,"± 1,440,000",75941,"± 11,870",114880,"± 17,860",1.4890000000000001,± 0.294,"Sarko et al., 2009"
Blarina brevicauda,Eulipotyphla,0.113,± 0.009,6340000,"± 636,200",13320000,"± 1,120,000",55924,"± 2,130",117736,"± 5,840",2.1019999999999999,± 0.096,"Sarko et al., 2009"
Heterocephalus glaber,Glires,0.16,± 0.019,4981317,"± 853,026",10310350,"± 1,843,572",31674,"± 8,484",64145,"± 3,790",2.125,NA,"Herculano-Houzel et al., 2011"
Mus musculus,Glires,0.17199999999999999,± 0.019,11960000,"± 1,577,022",14850000,"± 3,590,591",64301,"± 6,623",79839,"± 11,249",1.242,NA,"Herculano-Houzel et al., 2006"
Parascalops breweri,Eulipotyphla,0.22800000000000001,± 0.009,7130000,"± 920,000",31380000,"± 1,500,000",31276,"± 3,180",137960,"± 7,180",4.4009999999999998,± 0.375,"Sarko et al., 2009"
Condylura cristata,Eulipotyphla,0.24399999999999999,± 0.026,8160000,"± 2,180,000",31550000,"± 5,950,000",33475,"± 8,560",128990,"± 17,820",3.8660000000000001,± 1.692,"Sarko et al., 2009"
Amblysomus hottentotus,Afrotheria,0.28899999999999998,± 0.013,9070358,"± 1,069,000",16834642,"± 3,276,000",31616,"± 5,124",58880,"± 13,983",1.839,± 0.144,"Neves et al., 2014"
Scalopus aquaticus,Eulipotyphla,0.37,± 0.042,16560000,"± 2,990,000",45690000,"± 4,820,000",44620,"± 4,900",123600,"± 2,550",2.7589999999999999,± 0.379,"Sarko et al., 2009"
Mesocricetus auratus,Glires,0.375,± 0.057,5870000,"± 1,162,059",21330000,"± 8,878,857",15611,± 715,55804,"± 15,174",3.556,NA,"Herculano-Houzel et al., 2006"
Elephantulus myurus,Afrotheria,0.40100000000000002,±0.063,14012533,"± 3,258,000",28997467,"± 7,906,000",34520,"± 2,702",70967,"± 8,566",2.048,± 0.088,"Neves et al., 2014"
Microcebus murinus,Primata,0.5,NA,11014640,NA,50865360,NA,22029,NA,101731,NA,4.6180000000000003,NA,"Gabi et al., 2010"
Rattus norvegicus,Glires,0.68300000000000005,± 0.153,18678758,"± 4,243,909",47221243,"± 5,979,982",27813,"± 6,171",71760,"± 18,475",2.5870000000000002,NA,"Herculano-Houzel et al., 2006"
Proechimys cayennensis,Glires,0.82399999999999995,± 0.006,13492039,"± 1,533,120",73068898,"± 2,691,449",16381,"± 1,973",88667,"± 2,658",5.4619999999999997,NA,"Herculano-Houzel et al., 2011"
Petrodromus tetradactylus,Afrotheria,0.89400000000000002,± 0.022,12231811,"± 188,000",28204189,"± 5,408,000",13696,± 547,31716,"± 6,830",2.2999999999999998,± 0.407,"Neves et al., 2014"
Tupaia glis,Scandentia,0.91900000000000004,± 0.072,22480000,NA,87080000,NA,25900,NA,100320,NA,3.8740000000000001,NA,"Herculano-Houzel et al., 2007"
Cavia porcellus,Glires,1.218,± 0.178,22191825,"± 9,431,638",83183175,"± 8,139,966",18990,"± 10,522",69528,"± 16,855",4.0350000000000001,NA,"Herculano-Houzel et al., 2006"
Callithrix jacchus,Primata,1.4890000000000001,± 0.317,29720000,"± 9,350,000",145910000,"± 27,830,000",19650,"± 2,840",98370,NA,4.9089999999999998,NA,"Herculano-Houzel et al., 2007"
