Explanatory.Variable,Dependent.Measure,t,df,p,X6,r2,λ
Population Group Size,Cylinder score,-1.19,18,NA,0.88,7.0000000000000007E-2,0.95
NA,A not B score,0.09,16,NA,0.46,< 0.01,0.47
NA,Composite Score,-0.75,13,NA,0.77,0.04,0.83
Foraging Group Size,Cylinder score,-1.27,18,NA,0.89,0.08,0.96
NA,A not B score,-0.17,16,NA,0.56999999999999995,< 0.01,0.47
NA,Composite Score,-0.33,13,NA,0.63,0.01,0.82
Percent Fruit in Diet,Cylinder score,1.46,17,NA,0.08,0.11,0.93
NA,A not B score,-0.31,15,NA,0.62,0.01,0.47
NA,Composite Score,0.11,13,NA,0.46,< 0.01,0.85
Dietary Breadth,Cylinder score,3.35,17,NA,< 0.01,0.4,0.63
NA,A not B score,3.44,15,NA,< 0.01,0.44,0.41
NA,Composite Score,4.99,12,NA,< 0.01,0.68,0.69
Social Learning,Cylinder score,5.37,13,NA,< 0.01,0.69,0
NA,A not B score,1.6,12,NA,0.14000000000000001,0.18,0
NA,Composite Score,2.63,9,NA,0.03,0.44,0
Innovation,Cylinder score,3.35,13,NA,< 0.01,0.46,0
NA,A not B score,1.53,12,NA,0.15,0.16,0
NA,Composite Score,1.99,9,NA,0.08,0.31,0
Extractive Foraging,Cylinder score,3.13,13,NA,< 0.01,0.43,0.55
NA,A not B score,2.26,12,NA,0.04,0.3,0
NA,Composite Score,3.1,9,NA,0.01,0.52,0
Tool Use,Cylinder score,5.92,13,NA,< 0.01,0.73,0
NA,A not B score,1.67,12,NA,0.12,0.19,0
NA,Composite Score,3.12,9,NA,0.01,0.52,0
Tactical Deception,Cylinder score,5.2,13,NA,< 0.01,0.68,0
NA,A not B score,3.19,12,NA,< 0.01,0.46,0
NA,Composite Score,4.06,9,NA,< 0.01,0.65,0
gs,Cylinder score,6.68,13,NA,< 0.01,0.77,0
NA,A not B score,2.3,12,NA,0.04,0.31,0
NA,Composite Score,3.61,9,NA,< 0.01,0.59,0
PCA 1,Cylinder score,6.64,13,NA,< 0.01,0.77,0
NA,A not B score,2.33,12,NA,0.04,0.31,0
NA,Composite Score,3.61,9,NA,< 0.01,0.59,0
Home Range ,Cylinder score,-1.27,18,NA,0.22,0.08,0.99
NA,A not B score,-0.78,15,NA,0.45,0.04,0.56
NA,Composite Score,-0.83,13,NA,0.42,0.05,0.89
Day Journey Length,Cylinder score,0.44,17,NA,0.67,0.01,0.94
NA,A not B score,0.26,15,NA,0.8,0,0.46
NA,Composite Score,-0.11,12,NA,0.91,0,0.82
D-Index,Cylinder score,0.4,17,NA,0.69,0.01,0.94
NA,A not B score,0.55,14,NA,0.59,0.02,0.5
NA,Composite Score,0.3,12,NA,0.77,0.01,0.78
Primary Substrate,Cylinder score,0.12,18,NA,0.91,0,0.95
NA,A not B score,1.07,46,NA,0.3,7.0000000000000007E-2,0.32
NA,Composite Score,0.38,13,NA,0.71,0.01,0.83
