Species,Population,Subject,Sex,Age,Cylinder,A.not.B
Asian elephant,Golden Triangle Asian Elephant Foundation,Am,F,3,-,*
Asian elephant,Golden Triangle Asian Elephant Foundation,Bo,F,33,-,*
Asian elephant,Golden Triangle Asian Elephant Foundation,NamFon,F,10,-,*
Asian elephant,Golden Triangle Asian Elephant Foundation,Pepsi,M,10,-,*
Asian elephant,Golden Triangle Asian Elephant Foundation,Ploy,F,16,-,*
Asian elephant,Golden Triangle Asian Elephant Foundation,Puki,M,40,-,*
Asian elephant,Golden Triangle Asian Elephant Foundation,TangMo,F,4,-,*
aye aye,Duke Lemur Center,Angelique ,F,5,*,-
aye aye,Duke Lemur Center,Ardrey,F,14,*,-
aye aye,Duke Lemur Center,Caliban,F,16,*,-
aye aye,Duke Lemur Center,Hitchcock,M,5,*,-
aye aye,Duke Lemur Center,Kali,F,12,*,-
aye aye,Duke Lemur Center,Lucrezia,F,9,*,-
aye aye,Duke Lemur Center,Medea,F,6,*,-
aye aye,Duke Lemur Center,Merlin,M,16,*,-
aye aye,Duke Lemur Center,Nosferatu,M,25,*,-
aye aye,Duke Lemur Center,Poe,M,24,*,-
black lemur,Duke Lemur Center,Barrymore,M,22,*,*
black lemur,Duke Lemur Center,Deucalion,M,21,-,*
black lemur,Duke Lemur Center,Foster,F,12,*,-
black lemur,Duke Lemur Center,Harlow,F,18,*,*
black lemur,Duke Lemur Center,Harmonia,F,26,-,*
black lemur,Duke Lemur Center,Hesperus,M,26,*,*
black lemur,Duke Lemur Center,Hopkins,M,14,-,*
black lemur,Duke Lemur Center,L'amour,F,21,*,*
black lemur,Duke Lemur Center,Latona,F,26,-,*
black lemur,Duke Lemur Center,Olivier,M,17,*,-
black lemur,Duke Lemur Center,Quinn,M,9,*,*
black lemur,Duke Lemur Center,Redford,M,18,*,*
black lemur,Duke Lemur Center,Tarantino,M,9,*,-
black lemur,Duke Lemur Center,Teucer,M,20,*,-
bonobo,MPI - Leipzig,Fimi,F,2,*,-
bonobo,MPI - Leipzig,Joey,M,28,*,*
bonobo,MPI - Leipzig,Kuno,M,14,*,*
bonobo,MPI - Leipzig,Luiza,F,5,*,*
bonobo,MPI - Leipzig,Ulindi,F,17,*,-
bonobo,MPI - Leipzig,Yasa,F,13,*,-
bonobo,MPI-Leipzig,Limbuko,M,14,-,*
brown lemur,Duke Lemur Center,Alphonse,M,29,*,-
brown lemur,Duke Lemur Center,Fiery,M,27,*,-
brown lemur,Duke Lemur Center,Francoise,F,25,*,-
brown lemur,Duke Lemur Center,Frigga,F,26,*,-
brown lemur,Duke Lemur Center,Geraldine,F,21,*,-
brown lemur,Duke Lemur Center,Giscard,M,22,*,-
brown lemur,Duke Lemur Center,Jules,M,23,*,-
brown lemur,Duke Lemur Center,Kish,M,23,*,-
brown lemur,Duke Lemur Center,Martine,F,23,*,-
brown lemur,Duke Lemur Center,Wizard,F,15,*,-
capuchin monkey,ISTC-CNR Primate Centre,Brahms,F,22,-,*
capuchin monkey,ISTC-CNR Primate Centre,Cammello,M,32,*,-
capuchin monkey,ISTC-CNR Primate Centre,Carlotta,F,27,*,-
capuchin monkey,ISTC-CNR Primate Centre,Cognac,M,17,-,*
capuchin monkey,ISTC-CNR Primate Centre,Pandora,F,8,-,*
capuchin monkey,ISTC-CNR Primate Centre,Panna,F,10,-,*
capuchin monkey,ISTC-CNR Primate Centre,Paprica,F,21,*,-
capuchin monkey,ISTC-CNR Primate Centre,Patè,M,13,-,*
capuchin monkey,ISTC-CNR Primate Centre,Pedro,M,"3(a), 9(b)",*,*
capuchin monkey,ISTC-CNR Primate Centre,Penelope,F,5,-,*
capuchin monkey,ISTC-CNR Primate Centre,Pepe,M,17,-,*
capuchin monkey,ISTC-CNR Primate Centre,Pippi,F,23,-,*
capuchin monkey,ISTC-CNR Primate Centre,Punk,F,adult,-,*
capuchin monkey,ISTC-CNR Primate Centre,Rame,F,23,*,-
capuchin monkey,ISTC-CNR Primate Centre,Roberta,F,24,*,-
capuchin monkey,ISTC-CNR Primate Centre,Robin Hood,M,"7(a), 13(b)",*,*
capuchin monkey,ISTC-CNR Primate Centre,Robinia,F,"11(a), 17(b)",*,*
capuchin monkey,ISTC-CNR Primate Centre,Robot,M,"9(a), 14(b)",*,*
capuchin monkey,ISTC-CNR Primate Centre,Rosso,M,adult,-,*
capuchin monkey,ISTC-CNR Primate Centre,Rubens,M,8,*,-
capuchin monkey,ISTC-CNR Primate Centre,Rucola,F,4,-,*
capuchin monkey,ISTC-CNR Primate Centre,Saroma,F,9,*,-
capuchin monkey,ISTC-CNR Primate Centre,Viola,M,adult,-,*
capuchin monkey,ISTC-CNR Primate Centre,Virginia,F,11,*,-
capuchin monkey,ISTC-CNR Primate Centre,Vispo,M,4,-,*
