Species,Order,Brain_area,Num_an,Source,Mass_SD,N_neurons_SD,N_other_SD,Neurons_per_mg_SD,Other_per_mg_SD,Other_per_neuron_SD
Amblysomushottentotus,Afrotheria,cerebellum,2,"Nevesetal.,2014",NA,"3,207,000","813,000","18,667","5,069",0.002
Amblysomushottentotus,Afrotheria,rest_of_brain,2,"Nevesetal.,2014",0.013,"1,069,000","3,276,000","5,124","13,983",0.144
Amblysomushottentotus,Afrotheria,cerebral_ctx,2,"Nevesetal.,2014",0.035,"2,154,000","4,614,000","1,004","6,674",0.116
Antidorcasmarsupialis,Artiodactyla,cerebellum,1,"Kazuetal.,2014",NA,NA,NA,NA,NA,NA
Antidorcasmarsupialis,Artiodactyla,rest_of_brain,1,"Kazuetal.,2014",NA,NA,NA,NA,NA,NA
Antidorcasmarsupialis,Artiodactyla,cerebral_ctx,1,"Kazuetal.,2014",NA,NA,NA,NA,NA,NA
Antidorcasmarsupialis,Artiodactyla,olf_bulb,1,"Kazuetal.,2014",NA,NA,NA,NA,NA,NA
Aotustrivirgatus,Primata,cerebellum,NA,"Herculano-Houzeletal.,2007",0.218,"20,000,000","45,030,000","90,570","15,580",NA
Aotustrivirgatus,Primata,rest_of_brain,NA,"Herculano-Houzeletal.,2007",NA,NA,NA,NA,NA,NA
Aotustrivirgatus,Primata,cerebral_ctx,NA,"Herculano-Houzeletal.,2007",0.61,"111,310,000","130,000,000","12,900","5,950",NA
"Aotustrivirgatus,n=6",Primata,olf_bulb,NA,"Ribeiroetal.,2014",0.012,"3,114,924","3,213,106","62,241","44,209",NA
Blarinabrevicauda,Eulipotyphla,cerebellum,5,"Sarkoetal.,2009",0.005,"5,821,000","1,280,000","19,721","25,620",NA
Blarinabrevicauda,Eulipotyphla,rest_of_brain,5,"Sarkoetal.,2009",0.009,"636,200","1,120,000","2,130","5,840",0.096
Blarinabrevicauda,Eulipotyphla,cerebral_ctx,5,"Sarkoetal.,2009",0.012,"1,569,000","1,158,000","4,935","8,731",0.25
Blarinabrevicauda,Eulipotyphla,olf_bulb,5,"Sarkoetal.,2009",0.003,"935,900","730,000","34,950","31,450",0.125
Callimicogoeldii,Primata,rest_of_brain,1,"Gabietal.,2010",NA,NA,NA,NA,NA,NA
Callimicogoeldii,Primata,cerebral_ctx,1,"Gabietal.,2010",NA,NA,NA,NA,NA,NA
Callithrixjacchus,Primata,cerebellum,NA,"Herculano-Houzeletal.,2007",0.039,"28,530,000","6,770,000","25,740","12,210",NA
Callithrixjacchus,Primata,rest_of_brain,NA,"Herculano-Houzeletal.,2007",0.317,"9,350,000","27,830,000","2,840",NA,NA
Callithrixjacchus,Primata,cerebral_ctx,NA,"Herculano-Houzeletal.,2007",0.443,"81,180,000","58,790,000","15,900","14,880",NA
Caviaporcellus,Glires,cerebellum,2,"Herculano-Houzeletal.,2006",0.077,"2,175,973","4,506,186","48,069","2,216",0.024
Caviaporcellus,Glires,rest_of_brain,2,"Herculano-Houzeletal.,2006",0.178,"9,431,638","8,139,966","10,522","16,855",NA
Caviaporcellus,Glires,cerebral_ctx,2,"Herculano-Houzeletal.,2006",0.231,"3,169,924","12,775,334","1,050",93,0.112
Caviaporcellus,Glires,olf_bulb,2,"Herculano-Houzeletal.,2006",0.013,"1,295,335","4,220,098","5,340","29,011",0.346
